     k         norm x 
     0     1.000000 (  -2.925,  -1.9256, -0.74222, -0.12061,  0.17932,  0.34443,  0.44984,  0.52405,  0.57951,  0.62267,  0.65725,   0.6856,  0.70928,  0.72936,  0.74661,  0.76158,  0.77471,  0.78631,  0.79664,  0.80589,  0.81423,  0.82178,  0.82866,  0.83494,  0.84071,  0.84602,  0.85092,  0.85547,  0.85969,  0.86363,   0.8673,  0.87074,  0.87397,    0.877,  0.87986,  0.88255,   0.8851,  0.88751,  0.88979,  0.89196)
     1     0.113410 (  -3.2992,   -1.7108,  -0.49913, -0.015786,   0.18393,   0.29033,   0.35853,    0.4065,   0.44214,   0.46966,   0.49155,   0.50936,   0.52415,   0.53662,   0.54727,   0.55648,   0.56452,   0.57159,   0.57787,   0.58348,   0.58851,   0.59306,   0.59719,   0.60096,   0.60441,   0.60758,    0.6105,    0.6132,   0.61571,   0.61804,   0.62022,   0.62225,   0.62416,   0.62595,   0.62763,   0.62921,   0.63071,   0.63212,   0.63346,   0.62021)
     2     0.082668 ( -3.0472,  -1.6143, -0.52846, -0.05125,   0.1709,  0.29526,  0.37546,  0.43198,  0.47414,  0.50687,  0.53304,  0.55446,  0.57231,  0.58742,  0.60039,  0.61163,  0.62147,  0.63016,   0.6379,  0.64482,  0.65105,  0.65669,  0.66182,  0.66651,   0.6708,  0.67476,  0.67841,   0.6818,  0.68494,  0.68787,   0.6906,  0.69316,  0.69555,  0.69781,  0.69993,  0.70193,  0.70382,  0.70561,  0.70706,  0.70293)
     3     0.013937 (  -3.0602,    -1.657,  -0.53658, -0.044048,   0.17639,   0.29621,   0.37284,   0.42672,   0.46685,   0.49793,   0.52273,   0.54298,   0.55983,   0.57407,   0.58626,   0.59683,   0.60606,    0.6142,   0.62144,   0.62791,   0.63373,     0.639,   0.64378,   0.64815,   0.65215,   0.65584,   0.65923,   0.66238,    0.6653,   0.66802,   0.67055,   0.67293,   0.67515,   0.67724,   0.67921,   0.68106,   0.68281,   0.68446,   0.68601,   0.67777)
     4     0.007734 (   -3.084,   -1.6546,  -0.53206, -0.044583,    0.1748,   0.29546,   0.37307,   0.42773,   0.46846,   0.50005,   0.52527,   0.54588,   0.56305,   0.57757,   0.59001,   0.60079,   0.61023,   0.61855,   0.62595,   0.63257,   0.63852,   0.64391,   0.64881,   0.65329,   0.65739,   0.66116,   0.66465,   0.66787,   0.67087,   0.67366,   0.67626,    0.6787,   0.68098,   0.68313,   0.68514,   0.68705,   0.68885,   0.69055,     0.692,   0.68541)
     5     0.002834 (  -3.0753,    -1.651,  -0.53276, -0.044794,   0.17515,   0.29575,   0.37312,   0.42756,   0.46812,   0.49956,   0.52465,   0.54515,   0.56222,   0.57665,   0.58902,   0.59973,    0.6091,   0.61737,   0.62471,   0.63129,    0.6372,   0.64255,   0.64741,   0.65185,   0.65592,   0.65966,   0.66312,   0.66632,   0.66929,   0.67206,   0.67464,   0.67705,   0.67932,   0.68144,   0.68344,   0.68533,   0.68711,   0.68879,    0.6903,   0.68309)
     6     0.000453 (  -3.0756,   -1.6524,   -0.5329, -0.044696,   0.17509,   0.29566,   0.37308,   0.42758,   0.46819,   0.49967,    0.5248,   0.54533,   0.56243,   0.57689,   0.58928,   0.60001,    0.6094,   0.61769,   0.62505,   0.63164,   0.63757,   0.64293,    0.6478,   0.65225,   0.65633,   0.66009,   0.66355,   0.66676,   0.66974,   0.67251,    0.6751,   0.67752,   0.67979,   0.68192,   0.68393,   0.68582,   0.68761,    0.6893,   0.69078,    0.6838)
     7     0.000266 (  -3.0764,   -1.6523,  -0.53281, -0.044721,   0.17509,   0.29569,   0.37309,   0.42758,   0.46818,   0.49964,   0.52476,   0.54529,   0.56238,   0.57683,   0.58921,   0.59994,   0.60932,    0.6176,   0.62496,   0.63154,   0.63746,   0.64282,   0.64769,   0.65214,   0.65622,   0.65997,   0.66343,   0.66664,   0.66961,   0.67238,   0.67497,   0.67739,   0.67966,   0.68179,   0.68379,   0.68568,   0.68747,   0.68915,   0.69065,   0.68358)
     8     0.000102 (  -3.0761,   -1.6522,  -0.53282, -0.044714,    0.1751,   0.29568,   0.37309,   0.42758,   0.46818,   0.49965,   0.52477,    0.5453,   0.56239,   0.57685,   0.58923,   0.59996,   0.60935,   0.61762,   0.62498,   0.63157,   0.63749,   0.64285,   0.64772,   0.65217,   0.65625,      0.66,   0.66346,   0.66667,   0.66965,   0.67242,   0.67501,   0.67743,   0.67969,   0.68183,   0.68383,   0.68572,   0.68751,    0.6892,   0.69069,   0.68365)
     9     0.000014 (  -3.0761,   -1.6522,  -0.53283, -0.044717,    0.1751,   0.29568,   0.37309,   0.42758,   0.46818,   0.49965,   0.52477,    0.5453,   0.56239,   0.57684,   0.58923,   0.59995,   0.60934,   0.61762,   0.62498,   0.63156,   0.63748,   0.64284,   0.64772,   0.65216,   0.65624,   0.65999,   0.66345,   0.66666,   0.66964,   0.67241,   0.67499,   0.67741,   0.67968,   0.68181,   0.68382,   0.68571,    0.6875,   0.68918,   0.69067,   0.68363)
    10     0.000006 (  -3.0761,   -1.6522,  -0.53283, -0.044716,    0.1751,   0.29568,   0.37309,   0.42758,   0.46818,   0.49965,   0.52477,    0.5453,   0.56239,   0.57684,   0.58923,   0.59996,   0.60934,   0.61762,   0.62498,   0.63156,   0.63749,   0.64285,   0.64772,   0.65217,   0.65624,   0.65999,   0.66346,   0.66666,   0.66964,   0.67241,     0.675,   0.67742,   0.67969,   0.68182,   0.68382,   0.68571,    0.6875,   0.68919,   0.69068,   0.68363)
