     k         norm x 
     0     1.000000 (  -2.25,   -0.75,   -0.25,       0,    0.15,    0.25, 0.32143,   0.375, 0.41667,    0.45, 0.47727,     0.5, 0.51923, 0.53571,    0.55,  0.5625, 0.57353, 0.58333, 0.59211,     0.6, 0.60714, 0.61364, 0.61957,   0.625,    0.63, 0.63462, 0.63889, 0.64286, 0.64655,    0.65, 0.65323, 0.65625, 0.65909, 0.66176, 0.66429, 0.66667, 0.66892, 0.67105, 0.67308,   0.675)
     1     0.238095 ( -2.625,  -1.375,  -0.375, -0.0125,   0.175, 0.28929, 0.36607, 0.42113,  0.4625,  0.4947, 0.52045, 0.54152, 0.55907,  0.5739, 0.58661, 0.59761, 0.60723, 0.61571, 0.62325, 0.62998, 0.63604, 0.64152, 0.64649, 0.65103, 0.65519, 0.65902, 0.66255, 0.66581, 0.66884, 0.67166, 0.67429, 0.67675, 0.67906, 0.68123, 0.68326, 0.68518,   0.687, 0.68871, 0.69033, 0.68341)
     2     0.106383 ( -2.9375,     -1.5, -0.48125,   -0.025,  0.17768,  0.29509,  0.37217,  0.42679,  0.46755,  0.49915,  0.52437,  0.54498,  0.56213,  0.57663,  0.58905,  0.59981,  0.60922,  0.61751,  0.62489,  0.63148,  0.63742,  0.64278,  0.64766,  0.65212,   0.6562,  0.65996,  0.66342,  0.66663,  0.66961,  0.67239,  0.67497,   0.6774,  0.67967,   0.6818,  0.68381,   0.6857,  0.68749,  0.68918,  0.69067,  0.68363)
     3     0.034896 (       -3,   -1.6047,  -0.50417, -0.037946,   0.17701,   0.29582,   0.37299,   0.42748,   0.46811,    0.4996,   0.52473,   0.54527,   0.56237,   0.57683,   0.58921,   0.59995,   0.60933,   0.61761,   0.62497,   0.63156,   0.63748,   0.64284,   0.64772,   0.65216,   0.65624,   0.65999,   0.66346,   0.66666,   0.66964,   0.67241,     0.675,   0.67742,   0.67968,   0.68182,   0.68382,   0.68571,    0.6875,   0.68919,   0.69068,   0.68363)
     4     0.017149 (  -3.0523,    -1.626,  -0.52377, -0.040895,   0.17579,   0.29583,   0.37309,   0.42757,   0.46817,   0.49964,   0.52477,    0.5453,   0.56239,   0.57684,   0.58923,   0.59995,   0.60934,   0.61762,   0.62498,   0.63156,   0.63749,   0.64285,   0.64772,   0.65217,   0.65624,   0.65999,   0.66346,   0.66666,   0.66964,   0.67241,     0.675,   0.67742,   0.67969,   0.68182,   0.68382,   0.68571,    0.6875,   0.68919,   0.69068,   0.68363)
     5     0.005872 (   -3.063,    -1.644,  -0.52782, -0.043498,   0.17549,   0.29574,    0.3731,   0.42758,   0.46818,   0.49965,   0.52477,    0.5453,   0.56239,   0.57684,   0.58923,   0.59996,   0.60934,   0.61762,   0.62498,   0.63156,   0.63749,   0.64285,   0.64772,   0.65217,   0.65624,   0.65999,   0.66346,   0.66666,   0.66964,   0.67241,     0.675,   0.67742,   0.67969,   0.68182,   0.68382,   0.68571,    0.6875,   0.68919,   0.69068,   0.68363)
     6     0.002928 (   -3.072,   -1.6477,  -0.53125, -0.044041,   0.17522,   0.29572,   0.37309,   0.42758,   0.46818,   0.49965,   0.52477,    0.5453,   0.56239,   0.57684,   0.58923,   0.59996,   0.60934,   0.61762,   0.62498,   0.63156,   0.63749,   0.64285,   0.64772,   0.65217,   0.65624,   0.65999,   0.66346,   0.66666,   0.66964,   0.67241,     0.675,   0.67742,   0.67969,   0.68182,   0.68382,   0.68571,    0.6875,   0.68919,   0.69068,   0.68363)
     7     0.001011 (  -3.0739,   -1.6508,  -0.53196, -0.044504,   0.17517,   0.29569,   0.37309,   0.42758,   0.46818,   0.49965,   0.52477,    0.5453,   0.56239,   0.57684,   0.58923,   0.59996,   0.60934,   0.61762,   0.62498,   0.63156,   0.63749,   0.64285,   0.64772,   0.65217,   0.65624,   0.65999,   0.66346,   0.66666,   0.66964,   0.67241,     0.675,   0.67742,   0.67969,   0.68182,   0.68382,   0.68571,    0.6875,   0.68919,   0.69068,   0.68363)
     8     0.000505 (  -3.0754,   -1.6515,  -0.53255, -0.044599,   0.17512,   0.29569,   0.37309,   0.42758,   0.46818,   0.49965,   0.52477,    0.5453,   0.56239,   0.57684,   0.58923,   0.59996,   0.60934,   0.61762,   0.62498,   0.63156,   0.63749,   0.64285,   0.64772,   0.65217,   0.65624,   0.65999,   0.66346,   0.66666,   0.66964,   0.67241,     0.675,   0.67742,   0.67969,   0.68182,   0.68382,   0.68571,    0.6875,   0.68919,   0.69068,   0.68363)
     9     0.000175 (  -3.0757,    -1.652,  -0.53268, -0.044679,   0.17511,   0.29568,   0.37309,   0.42758,   0.46818,   0.49965,   0.52477,    0.5453,   0.56239,   0.57684,   0.58923,   0.59996,   0.60934,   0.61762,   0.62498,   0.63156,   0.63749,   0.64285,   0.64772,   0.65217,   0.65624,   0.65999,   0.66346,   0.66666,   0.66964,   0.67241,     0.675,   0.67742,   0.67969,   0.68182,   0.68382,   0.68571,    0.6875,   0.68919,   0.69068,   0.68363)
    10     0.000087 (   -3.076,   -1.6521,  -0.53278, -0.044696,    0.1751,   0.29568,   0.37309,   0.42758,   0.46818,   0.49965,   0.52477,    0.5453,   0.56239,   0.57684,   0.58923,   0.59996,   0.60934,   0.61762,   0.62498,   0.63156,   0.63749,   0.64285,   0.64772,   0.65217,   0.65624,   0.65999,   0.66346,   0.66666,   0.66964,   0.67241,     0.675,   0.67742,   0.67969,   0.68182,   0.68382,   0.68571,    0.6875,   0.68919,   0.69068,   0.68363)
    11     0.000030 ( -3.0761,  -1.6522,  -0.5328, -0.04471,   0.1751,  0.29568,  0.37309,  0.42758,  0.46818,  0.49965,  0.52477,   0.5453,  0.56239,  0.57684,  0.58923,  0.59996,  0.60934,  0.61762,  0.62498,  0.63156,  0.63749,  0.64285,  0.64772,  0.65217,  0.65624,  0.65999,  0.66346,  0.66666,  0.66964,  0.67241,    0.675,  0.67742,  0.67969,  0.68182,  0.68382,  0.68571,   0.6875,  0.68919,  0.69068,  0.68363)
    12     0.000015 (  -3.0761,   -1.6522,  -0.53282, -0.044713,    0.1751,   0.29568,   0.37309,   0.42758,   0.46818,   0.49965,   0.52477,    0.5453,   0.56239,   0.57684,   0.58923,   0.59996,   0.60934,   0.61762,   0.62498,   0.63156,   0.63749,   0.64285,   0.64772,   0.65217,   0.65624,   0.65999,   0.66346,   0.66666,   0.66964,   0.67241,     0.675,   0.67742,   0.67969,   0.68182,   0.68382,   0.68571,    0.6875,   0.68919,   0.69068,   0.68363)
    13     0.000005 (  -3.0761,   -1.6522,  -0.53282, -0.044715,    0.1751,   0.29568,   0.37309,   0.42758,   0.46818,   0.49965,   0.52477,    0.5453,   0.56239,   0.57684,   0.58923,   0.59996,   0.60934,   0.61762,   0.62498,   0.63156,   0.63749,   0.64285,   0.64772,   0.65217,   0.65624,   0.65999,   0.66346,   0.66666,   0.66964,   0.67241,     0.675,   0.67742,   0.67969,   0.68182,   0.68382,   0.68571,    0.6875,   0.68919,   0.69068,   0.68363)
