     k           mu x 
     1       3.1667 (-0.35112,  0.93633,        0)
     2       4.6164 (-0.27254,  0.94151, -0.19821)
     3       5.0282 (-0.24077,  0.93361, -0.26534)
     4       5.1028 (-0.23008,  0.92993, -0.28687)
     5       5.1188 (-0.22661,  0.92863, -0.29375)
     6       5.1230 ( -0.2255,  0.92821, -0.29594)
     7       5.1243 (-0.22514,  0.92807, -0.29664)
     8       5.1247 (-0.22503,  0.92803, -0.29687)
